00022286	00172	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00022422	00173	tx	[0x3F]
00022482	00174	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00022622	00175	tx	[0x3F]
00022681	00176	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00022822	00177	tx	[0x3F]
00022881	00178	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00023022	00179	tx	[0x3F]
00023083	00180	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00023222	00181	tx	[0x3F]
00023282	00182	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00023422	00183	tx	[0x3F]
00023483	00184	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00023622	00185	tx	[0x3F]
00023684	00186	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00023823	00187	tx	[0x3F]
00023885	00188	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00024022	00189	tx	[0x3F]
00024082	00190	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00024224	00191	tx	[0x3F]
00024288	00192	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00024423	00193	tx	[0x3F]
00024484	00194	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00024623	00195	tx	[0x3F]
00024684	00196	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00024823	00197	tx	[0x3F]
00024884	00198	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00025023	00199	tx	[0x3F]
00025083	00200	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00025224	00201	tx	[0x3F]
00025300	00202	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00025423	00203	tx	[0x3F]
00025536	00204	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00025624	00205	tx	[0x3F]
00025685	00206	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00025824	00207	tx	[0x3F]
00025886	00208	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00026023	00209	tx	[0x3F]
00026084	00210	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00026223	00211	tx	[0x3F]
00026283	00212	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00026423	00213	tx	[0x3F]
00026489	00214	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00026624	00215	tx	[0x3F]
00026683	00216	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00026824	00217	tx	[0x3F]
00026883	00218	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00027023	00219	tx	[0x3F]
00027083	00220	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00027223	00221	tx	[0x3F]
00027281	00222	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00027422	00223	tx	[0x3F]
